latitude,longitude,temperature_max,temperature_min,humidity_max,humidity_min,precipitation_sum,windspeed_max,wind_direction,day,month,dayofweek,brightness,bright_t31,frp,fire_prob
29.76,78.49999999999996,32.1,25.4,99,72,7.5,5.9,68,5,9,4,0,0,0,0.1501909
29.76,78.51999999999995,31.6,25.9,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26286858
29.76,78.53999999999995,31.0,25.3,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26102477
29.76,78.55999999999995,30.6,25.2,95,76,9.2,6.5,75,5,9,4,0,0,0,0.085365675
29.76,78.57999999999994,29.3,24.0,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08456626
29.76,78.59999999999994,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02137426
29.76,78.61999999999993,29.8,24.0,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445278
29.76,78.63999999999993,29.4,24.0,95,76,9.2,6.5,75,5,9,4,0,0,0,0.084760435
29.76,78.65999999999993,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021374239
29.76,78.67999999999992,29.4,24.1,95,76,9.2,6.5,75,5,9,4,0,0,0,0.084616534
29.76,78.69999999999992,28.6,23.7,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021709263
29.76,78.71999999999991,30.1,24.3,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011489824
29.76,78.73999999999991,29.8,24.0,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011445278
29.76,78.7599999999999,28.5,23.6,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021667382
29.76,78.7799999999999,28.1,23.2,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021500604
29.76,78.7999999999999,26.7,22.3,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054691352
29.76,78.8199999999999,23.9,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.0802619
29.76,78.83999999999989,25.8,22.0,96,84,12.7,7.7,149,5,9,4,0,0,0,0.02140658
29.76,78.85999999999989,26.1,21.0,97,82,8.0,7.4,107,5,9,4,0,0,0,0.0949713
29.76,78.87999999999988,25.6,20.5,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09469308
29.76,78.89999999999988,23.8,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08007722
29.76,78.91999999999987,22.8,18.3,95,86,8.2,8.0,203,5,9,4,0,0,0,0.07973711
29.76,78.93999999999987,24.2,19.8,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080268264
29.76,78.95999999999987,25.1,20.6,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08083789
29.76,78.97999999999986,25.6,21.9,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021341808
29.76,78.99999999999986,23.9,19.4,95,86,8.2,8.0,203,5,9,4,0,0,0,0.0802619
29.78,78.3,31.7,25.0,99,72,7.5,5.9,68,5,9,4,0,0,0,0.14986031
29.78,78.32,31.6,25.4,96,72,8.6,9.3,93,5,9,4,0,0,0,0.13884492
29.78,78.33999999999999,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.78,78.35999999999999,32.7,26.0,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15068784
29.78,78.37999999999998,32.5,25.8,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15052222
29.78,78.39999999999998,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.78,78.41999999999997,32.2,25.5,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15027376
29.78,78.43999999999997,31.6,25.9,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26286858
29.78,78.45999999999997,31.2,25.5,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26163843
29.78,78.47999999999996,31.0,25.3,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26102477
29.78,78.49999999999996,30.7,25.0,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26010594
29.78,78.51999999999995,30.8,25.1,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26041192
29.78,78.53999999999995,30.4,24.7,94,71,5.0,7.9,84,5,9,4,0,0,0,0.2591894
29.78,78.55999999999995,30.8,25.1,94,71,5.0,7.9,84,5,9,4,0,0,0,0.26041192
29.78,78.57999999999994,29.6,23.8,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011415645
29.78,78.59999999999994,28.1,23.2,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021500597
29.78,78.61999999999993,28.1,23.3,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02145706
29.78,78.63999999999993,28.3,23.5,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021540081
29.78,78.65999999999993,27.5,23.1,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054957125
29.78,78.67999999999992,27.7,22.8,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021335097
29.78,78.69999999999992,30.0,24.2,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011474958
29.78,78.71999999999991,28.7,23.9,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021707132
29.78,78.73999999999991,28.2,23.3,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021542205
29.78,78.7599999999999,28.3,23.5,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021540081
29.78,78.7799999999999,27.0,22.6,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054790877
29.78,78.7999999999999,26.0,22.3,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021386893
29.78,78.8199999999999,24.0,19.5,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080309786
29.78,78.83999999999989,25.5,21.8,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021330606
29.78,78.85999999999989,23.8,19.3,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08021401
29.78,78.87999999999988,25.6,20.5,97,82,8.0,7.4,107,5,9,4,0,0,0,0.09469308
29.78,78.89999999999988,23.8,19.3,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08021401
29.78,78.91999999999987,24.9,20.5,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08060383
29.78,78.93999999999987,23.9,19.5,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080124974
29.78,78.95999999999987,23.4,19.0,95,86,8.2,8.0,203,5,9,4,0,0,0,0.07988635
29.78,78.97999999999986,22.1,17.6,95,86,8.2,8.0,203,5,9,4,0,0,0,0.07959079
29.78,78.99999999999986,24.2,19.7,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08040549
29.8,78.3,31.6,24.9,99,72,7.5,5.9,68,5,9,4,0,0,0,0.1497779
29.8,78.32,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.8,78.33999999999999,31.9,25.5,98,75,10.8,6.3,63,5,9,4,0,0,0,0.053011265
29.8,78.35999999999999,32.7,26.0,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15068784
29.8,78.37999999999998,32.4,25.7,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15043941
29.8,78.39999999999998,32.0,25.3,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15010852
29.8,78.41999999999997,31.9,25.2,99,72,7.5,5.9,68,5,9,4,0,0,0,0.15002534
29.8,78.43999999999997,30.9,25.6,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08537258
29.8,78.45999999999997,31.1,25.4,94,71,5.0,7.9,84,5,9,4,0,0,0,0.2613314
29.8,78.47999999999996,28.2,23.8,95,79,10.4,7.7,83,5,9,4,0,0,0,0.055190593
29.8,78.49999999999996,30.7,25.3,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08541639
29.8,78.51999999999995,29.4,24.1,95,76,9.2,6.5,75,5,9,4,0,0,0,0.084616534
29.8,78.53999999999995,29.4,24.1,95,76,9.2,6.5,75,5,9,4,0,0,0,0.08461658
29.8,78.55999999999995,28.1,23.7,95,79,10.4,7.7,83,5,9,4,0,0,0,0.05515721
29.8,78.57999999999994,27.3,22.9,95,79,10.4,7.7,83,5,9,4,0,0,0,0.054890513
29.8,78.59999999999994,29.4,23.5,96,76,16.2,6.0,68,5,9,4,0,0,0,0.011415417
29.8,78.61999999999993,27.9,23.0,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021417694
29.8,78.63999999999993,28.2,23.4,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021498483
29.8,78.65999999999993,27.5,22.7,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021209694
29.8,78.67999999999992,27.9,23.1,94,79,13.7,7.3,90,5,9,4,0,0,0,0.02137426
29.8,78.69999999999992,28.6,23.8,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021665229
29.8,78.71999999999991,27.3,22.5,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021127906
29.8,78.73999999999991,27.5,22.7,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021209694
29.8,78.7599999999999,24.8,21.0,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021294074
29.8,78.7799999999999,24.6,20.8,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021271618
29.8,78.7999999999999,22.1,18.3,96,84,12.7,7.7,149,5,9,4,0,0,0,0.02099314
29.8,78.8199999999999,23.4,18.9,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08002293
29.8,78.83999999999989,25.1,21.4,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021285677
29.8,78.85999999999989,26.4,22.7,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021431996
29.8,78.87999999999988,25.4,21.6,96,84,12.7,7.7,149,5,9,4,0,0,0,0.021361489
29.8,78.89999999999988,28.3,23.4,94,79,13.7,7.3,90,5,9,4,0,0,0,0.021583807
29.8,78.91999999999987,24.4,19.9,95,86,8.2,8.0,203,5,9,4,0,0,0,0.080501445
29.8,78.93999999999987,23.7,19.2,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08016614
29.8,78.95999999999987,25.0,20.5,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08078961
29.8,78.97999999999986,24.2,19.7,95,86,8.2,8.0,203,5,9,4,0,0,0,0.08040549
